Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,Party,Percent,Acronym
Pulse RC,ΣΚΑΪ,2020-10-18,2020-10-22,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Interview,Βεργίνα TV,2020-10-16,2020-10-21,National,1184,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Opinion Poll,,2020-10-11,2020-10-15,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Marc,Αlpha TV,2020-10-10,2020-10-14,National,1007,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Alco,Open TV,2020-10-06,2020-10-10,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Metron Analysis,MEGA TV,2020-09-23,2020-09-29,National,1202,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Pulse RC,ΣΚΑΪ,2020-09-22,2020-09-23,National,1305,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
MRB,Star,2020-09-21,2020-09-23,National,1009,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Interview,Βεργίνα TV,2020-09-21,2020-09-23,National,1112,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
GPO,Παραπολιτικά,2020-09-14,2020-09-16,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Alco,Open TV,2020-09-14,2020-09-16,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Marc,Πρώτο ΘΕΜΑ,2020-09-10,2020-09-12,National,1527,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Opinion Poll,,2020-09-07,2020-09-10,National,1002,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
GPO,Τα Νέα,2020-08-30,2020-09-02,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Interview,Βεργίνα TV,2020-07-13,2020-07-15,National,1112,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Marc,Αlpha TV,2020-07-10,2020-07-13,National,1020,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Pulse RC,ΣΚΑΪ,2020-07-06,2020-07-08,National,1305,Provided,Not Available,0.5%,Ένωση Κεντρώων,,ΕΚ
Alco,Open TV,2020-06-29,2020-07-04,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Opinion Poll,,2020-07-01,2020-07-03,National,1100,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Κάπα Research,,2020-07-02,2020-07-02,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Marc,,2020-07-01,2020-07-02,National,2000,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Metron Analysis,Το Βήμα,2020-06-24,2020-06-29,National,1388,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Prorata,,2020-06-22,2020-06-26,National,2200,Provided,Not Available,0.5%,Ένωση Κεντρώων,,ΕΚ
GPO,Τα Νέα,2020-06-22,2020-06-26,National,1500,Provided,Not Available,0.5%,Ένωση Κεντρώων,,ΕΚ
MRB,Star,2020-06-17,2020-06-25,National,2200,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Interview,Βεργίνα TV,2020-06-04,2020-06-09,National,1100,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Alco,Open TV,2020-06-02,2020-06-08,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Opinion Poll,paraskhnio.gr,2020-06-01,2020-06-03,National,1060,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Pulse RC,ΣΚΑΪ,2020-06-01,2020-06-03,National,1208,Provided,Not Available,0.5%,Ένωση Κεντρώων,,ΕΚ
GPO,Παραπολιτικά,2020-05-22,2020-05-27,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Metron Analysis,MEGA TV,2020-05-22,2020-05-27,National,1201,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
MRB,Star,2020-05-08,2020-05-13,National,1228,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Alco,Open TV,2020-05-05,2020-05-10,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Opinion Poll,,2020-05-07,2020-05-09,National,1080,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Pulse RC,ΣΚΑΪ,2020-05-04,2020-05-06,National,1207,Provided,Not Available,0.5%,Ένωση Κεντρώων,,ΕΚ
Interview,Βεργίνα TV,2020-05-03,2020-05-06,National,1105,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Prorata,,2020-04-24,2020-04-29,National,2500,Provided,Not Available,1%,Ένωση Κεντρώων,,ΕΚ
Metron Analysis,MEGA TV,2020-04-22,2020-04-28,National,1204,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
GPO,Παραπολιτικά,2020-04-14,2020-04-22,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Κάπα Research,ΕΘΝΟΣ,2020-04-15,2020-04-17,National,1060,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Marc,Alpha TV,2020-04-11,2020-04-13,National,1020,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Pulse RC,ΣΚΑΪ,2020-03-30,2020-04-01,National,1250,Provided,Not Available,0.5%,Ένωση Κεντρώων,,ΕΚ
Opinion Poll,Πρώτο ΘΕΜΑ,2020-03-23,2020-03-26,National,1095,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Opinion Poll,Πρώτο ΘΕΜΑ,2020-03-06,2020-03-07,National,1200,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Alco,Open TV,2020-03-02,2020-03-07,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Pulse RC,ΣΚΑΪ,2020-03-03,2020-03-04,National,1258,Provided,Not Available,0.5%,Ένωση Κεντρώων,,ΕΚ
Opinion Poll,,2020-01-22,2020-01-27,National,1098,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Metron Analysis,Το Βήμα,2020-01-20,2020-01-22,National,1203,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Pulse RC,ΣΚΑΪ,2020-01-21,2020-01-22,National,1210,Provided,Not Available,0.5%,Ένωση Κεντρώων,,ΕΚ
MRB,Star,2020-01-13,2020-01-17,National,1436,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Interview,Βεργίνα TV,2020-01-07,2020-01-08,National,1005,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Pulse RC,ΣΚΑΪ,2019-12-16,2019-12-18,National,1202,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
MRB,Star,2019-11-27,2019-12-05,National,2000,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Opinion Poll,,2019-11-25,2019-11-28,National,1058,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Μetron Analysis,Το Βήμα,2019-11-18,2019-11-20,National,1203,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Pulse RC,ΣΚΑΪ,2019-11-18,2019-11-20,National,1211,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Palmos Analysis,GUE–NGL,2019-11-11,2019-11-14,National,1013,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.006999999999999999,ΕΚ
Marc,Πρώτο ΘΕΜΑ,2019-10-29,2019-10-31,National,1003,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Pulse RC,ΣΚΑΪ,2019-10-22,2019-10-23,National,1103,Provided,Not Available,0.5%,Ένωση Κεντρώων,,ΕΚ
Μetron Analysis,Το Βήμα,2019-09-16,2019-09-18,National,1202,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Pulse RC,ΣΚΑΪ,2019-09-17,2019-09-18,National,1110,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
MRB,Star,2019-09-14,2019-09-16,National,1020,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Marc,Πρώτο ΘΕΜΑ,2019-09-02,2019-09-05,National,1001,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Opinion Poll,,2019-09-02,2019-09-04,National,1102,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Metron Analysis,,2019-07-01,2019-07-05,National,1449,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.015,ΕΚ
Κάπα Research,ΕΘΝΟΣ,2019-07-01,2019-07-05,National,1241,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.015,ΕΚ
Marc,ANT1,2019-07-02,2019-07-04,National,1412,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.012,ΕΚ
MRB,Star,2019-07-01,2019-07-04,National,1205,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.024,ΕΚ
RASS,Action24,2019-07-01,2019-07-04,National,1003,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.02,ΕΚ
Metron Analysis,Alpha TV,2019-06-27,2019-07-01,National,1207,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.02,ΕΚ
Pulse RC,ΣΚΑΪ,2019-07-02,2019-07-03,National,1206,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.016,ΕΚ
Interview,Βεργίνα TV,2019-07-01,2019-07-03,National,1005,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.017,ΕΚ
Public Issue,,2019-06-18,2019-07-03,National,1003,Provided,Not Available,0.5%,Ένωση Κεντρώων,0.02,ΕΚ
Alco,Open TV,2019-06-28,2019-07-02,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.016,ΕΚ
Prorata,,2019-06-28,2019-07-01,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
RASS,in.gr,2019-06-24,2019-06-27,National,1002,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.013999999999999999,ΕΚ
MRB,Τα Νέα,2019-06-24,2019-06-26,National,1014,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.023,ΕΚ
Interview,Politik,2019-06-24,2019-06-26,National,1005,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.017,ΕΚ
Pulse RC,ΣΚΑΪ,2019-06-24,2019-06-26,National,1504,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.017,ΕΚ
Marc,ANT1,2019-06-19,2019-06-23,National,1214,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.016,ΕΚ
Prorata,Newpost,2019-06-18,2019-06-20,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.011000000000000001,ΕΚ
Interview,Βεργίνα TV,2019-06-18,2019-06-20,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.015,ΕΚ
Pulse RC,ΣΚΑΪ,2019-06-18,2019-06-19,National,1221,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.023,ΕΚ
Opinion Poll,,2019-06-17,2019-06-19,National,1000,Estimated/Assumed,Not Available,0.1%,Ένωση Κεντρώων,0.011000000000000001,ΕΚ
Metron Analysis,Το Βήμα,2019-06-14,2019-06-19,National,1001,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.025,ΕΚ
Alco,,2019-06-13,2019-06-19,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.011000000000000001,ΕΚ
Marc,,2019-06-10,2019-06-13,National,1115,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.012,ΕΚ
Pulse RC,ΣΚΑΪ,2019-06-10,2019-06-12,National,1356,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.011000000000000001,ΕΚ
MRB,Star,2019-06-10,2019-06-12,National,1003,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.021,ΕΚ
Metron Analysis,Alpha TV,2019-06-03,2019-06-05,National,1201,Provided,Not Available,0.1%,Ένωση Κεντρώων,,ΕΚ
Pulse RC,ΣΚΑΪ,2019-05-30,2019-06-01,National,1358,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.016,ΕΚ
Vox Pop Analysis,Documento,2019-05-06,2019-05-08,National,1286,Provided,Not Available,1%,Ένωση Κεντρώων,0.01,ΕΚ
MRB,Star,2019-05-06,2019-05-08,National,1139,Provided,88.7%,1%,Ένωση Κεντρώων,0.03,ΕΚ
Interview,Βεργίνα TV,2019-04-15,2019-04-17,National,1005,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.024,ΕΚ
Metron Analysis,Alpha TV,2019-04-15,2019-04-17,National,1200,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.022000000000000002,ΕΚ
MRB,Star,2019-04-01,2019-04-03,National,1003,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.024,ΕΚ
Marc,Πρώτο ΘΕΜΑ,2019-03-26,2019-04-01,National,1200,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.031,ΕΚ
RASS,in.gr,2019-03-26,2019-03-28,National,1005,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.032,ΕΚ
Pulse RC,ΣΚΑΪ,2019-03-23,2019-03-27,National,1452,Provided,Not Available,1%,Ένωση Κεντρώων,0.02,ΕΚ
Vox Pop Analysis,Documento,2019-03-18,2019-03-20,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.006999999999999999,ΕΚ
Metron Analysis,Το Βήμα,2019-03-18,2019-03-20,National,1204,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.018000000000000002,ΕΚ
Pulse RC,ΣΚΑΪ,2019-02-24,2019-02-26,National,1323,Provided,Not Available,0.5%,Ένωση Κεντρώων,0.02,ΕΚ
Alco,Open,2019-02-18,2019-02-23,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.037000000000000005,ΕΚ
Public Issue,,2019-02-01,2019-02-14,National,1002,Provided,Not Available,0.5%,Ένωση Κεντρώων,0.025,ΕΚ
Interview,Βεργίνα TV,2019-02-04,2019-02-05,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.027999999999999997,ΕΚ
Prorata,Η Εφημερίδα των Συντακτών,2019-02-01,2019-02-04,National,1000,Provided,Not Available,0.5%,Ένωση Κεντρώων,0.015,ΕΚ
Vox Pop Analysis,Documento,2019-02-01,2019-02-02,National,1205,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.027000000000000003,ΕΚ
Metron Analysis,Το Βήμα,2019-01-28,2019-01-29,National,7536,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.019,ΕΚ
RASS,in.gr,2019-01-21,2019-01-24,National,1004,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.027999999999999997,ΕΚ
Pulse RC,ΣΚΑΪ,2019-01-20,2019-01-22,National,1356,Provided,Not Available,0.5%,Ένωση Κεντρώων,0.02,ΕΚ
Marc,Πρώτο ΘΕΜΑ,2019-01-14,2019-01-17,National,1002,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.027000000000000003,ΕΚ
Opinion Poll,,2019-01-10,2019-01-16,National,1000,Provided,Not Available,0.5%,Ένωση Κεντρώων,0.02,ΕΚ
Pulse RC,ΣΚΑΪ,2018-12-16,2018-12-18,National,1354,Provided,Not Available,0.5%,Ένωση Κεντρώων,0.02,ΕΚ
Alco,Open,2018-12-05,2018-12-10,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.023,ΕΚ
MRB,real.gr,2018-11-28,2018-12-06,National,2000,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.027000000000000003,ΕΚ
Κάπα Research,thebest.gr,2018-12-04,2018-12-06,National,1004,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.028999999999999998,ΕΚ
Palmos Analysis,TVXS,2018-11-20,2018-11-23,National,1025,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.035,ΕΚ
Metron Analysis,Τα Νέα,2018-11-19,2018-11-21,National,1205,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.024,ΕΚ
Pulse RC,ΣΚΑΪ,2018-11-18,2018-11-20,National,1356,Provided,Not Available,0.5%,Ένωση Κεντρώων,0.025,ΕΚ
Public Issue,,2018-11-06,2018-11-16,National,1000,Provided,Not Available,0.5%,Ένωση Κεντρώων,0.02,ΕΚ
Marc,Πρώτο ΘΕΜΑ,2018-10-22,2018-10-24,National,1002,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.027999999999999997,ΕΚ
Pulse RC,ΣΚΑΪ,2018-10-14,2018-10-16,National,1355,Provided,Not Available,0.5%,Ένωση Κεντρώων,0.02,ΕΚ
Palmos Analysis,TVXS,2018-09-18,2018-09-21,National,1016,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.025,ΕΚ
Metron Analysis,Τα Νέα,2018-09-18,2018-09-20,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.032,ΕΚ
MRB,Star,2018-09-17,2018-09-19,National,1004,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.032,ΕΚ
Alco,Kontra Channel,2018-09-17,2018-09-19,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.028999999999999998,ΕΚ
Κάπα Research,ΕΘΝΟΣ,2018-09-17,2018-09-18,National,1005,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.028999999999999998,ΕΚ
Pulse RC,ΣΚΑΪ,2018-09-16,2018-09-18,National,1354,Provided,Not Available,0.5%,Ένωση Κεντρώων,0.025,ΕΚ
Marc,Πρώτο ΘΕΜΑ,2018-09-08,2018-09-08,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.031,ΕΚ
Κάπα Research,ΕΘΝΟΣ,2018-06-25,2018-07-02,National,1004,Estimated/Assumed,Not Available,0.1%,Ένωση Κεντρώων,0.034,ΕΚ
MRB,Real,2018-06-22,2018-06-29,National,2000,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.034,ΕΚ
Metron Analysis,Τα Νέα,2018-06-26,2018-06-28,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.032,ΕΚ
Alco,Kontra Channel,2018-06-23,2018-06-27,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.036000000000000004,ΕΚ
Pulse RC,ΣΚΑΪ,2018-06-24,2018-06-26,National,1323,Provided,Not Available,0.5%,Ένωση Κεντρώων,0.028999999999999998,ΕΚ
Marc,Πρώτο ΘΕΜΑ,2018-06-13,2018-06-15,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.034,ΕΚ
RASS,Action 24,2018-05-29,2018-05-31,National,1002,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.034,ΕΚ
Alco,Kontra Channel,2018-05-16,2018-05-20,National,1000,Provided,80.4%,0.1%,Ένωση Κεντρώων,0.023,ΕΚ
Pulse RC,ΣΚΑΪ,2018-05-13,2018-05-15,National,1341,Provided,Not Available,0.5%,Ένωση Κεντρώων,0.025,ΕΚ
Public Issue,,2018-04-23,2018-05-07,National,1003,Provided,Not Available,0.5%,Ένωση Κεντρώων,0.035,ΕΚ
Metron Analysis,Τα Νέα,2018-04-21,2018-04-21,National,1000,Estimated/Assumed,Not Available,0.1%,Ένωση Κεντρώων,0.033,ΕΚ
Pulse RC,ΣΚΑΪ,2018-04-15,2018-04-17,National,1356,Provided,Not Available,0.5%,Ένωση Κεντρώων,0.025,ΕΚ
Alco,Ραδιόφωνο 24/7,2018-04-11,2018-04-16,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.026000000000000002,ΕΚ
Palmos Analysis,TVXS,2018-04-12,2018-04-15,National,1009,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.03,ΕΚ
Κάπα Research,ΕΘΝΟΣ,2018-04-03,2018-04-03,National,8000,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.03,ΕΚ
Marc,Πρώτο ΘΕΜΑ,2018-03-01,2018-03-23,National,1000,Estimated/Assumed,Not Available,0.1%,Ένωση Κεντρώων,0.032,ΕΚ
Pulse RC,ΣΚΑΪ,2018-03-11,2018-03-13,National,1304,Provided,Not Available,0.5%,Ένωση Κεντρώων,0.025,ΕΚ
RASS,Πρώτο Θέμα,2018-03-06,2018-03-08,National,1002,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.033,ΕΚ
Pulse RC,Δημοκρατία,2018-03-03,2018-03-03,National,1207,Estimated/Assumed,Not Available,0.5%,Ένωση Κεντρώων,0.025,ΕΚ
Opinion Poll,Παρασκήνιο,2018-03-03,2018-03-03,National,1000,Estimated/Assumed,Not Available,0.1%,Ένωση Κεντρώων,0.028999999999999998,ΕΚ
Alco,ΕΘΝΟΣ,2018-02-22,2018-02-24,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.027000000000000003,ΕΚ
Metron Analysis,Το Βήμα,2018-02-12,2018-02-23,National,2300,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.03,ΕΚ
Pulse RC,Action 24,2018-01-25,2018-01-29,National,1518,Provided,Not Available,0.5%,Ένωση Κεντρώων,0.025,ΕΚ
Metron Analysis,Τα Νέα,2018-01-20,2018-01-20,National,1000,Estimated/Assumed,Not Available,0.1%,Ένωση Κεντρώων,0.032,ΕΚ
Alco,Ραδιόφωνο 24/7,2018-01-16,2018-01-18,National,1000,Provided,Not Available,0.1%,Ένωση Κεντρώων,0.026000000000000002,ΕΚ
Public Issue,,2018-01-08,2018-01-18,National,1010,Provided,Not Available,0.5%,Ένωση Κεντρώων,0.02,ΕΚ
Marc,Πρώτο ΘΕΜΑ,2018-01-13,2018-01-13,National,1000,Estimated/Assumed,Not Available,0.1%,Ένωση Κεντρώων,0.034,ΕΚ
Pulse RC,bankingnews.gr,2018-01-08,2018-01-10,National,1207,Provided,Not Available,0.5%,Ένωση Κεντρώων,0.025,ΕΚ
GPO,Powergame.gr,2021-10-27,2021-10-29,National,1000,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Pulse RC,ΣΚΑΪ,2021-10-22,2021-10-25,National,1907,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Opinion Poll,Mononews,2021-10-13,2021-10-19,National,1005,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Alco,Open TV,2021-10-11,2021-10-16,National,1000,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Interview,Political,2021-10-11,2021-10-14,National,1115,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Prorata,Η Εφημερίδα των Συντακτών,2021-10-05,2021-10-12,National,1131,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Marc,ANT1,2021-10-06,2021-10-11,National,1007,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Interview,Politic.gr,2021-09-27,2021-09-30,National,1105,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Metron Analysis,Mega TV,2021-09-21,2021-09-27,National,1200,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
GPO,Powergame.gr,2021-09-20,2021-09-24,National,1000,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Marc,Πρώτο ΘΕΜΑ,2021-09-19,2021-09-23,National,1029,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
MRB,Star,2021-09-20,2021-09-21,National,1000,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Pulse RC,ΣΚΑΪ,2021-09-19,2021-09-21,National,2018,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
GPO,Παραπολιτικά,2021-09-13,2021-09-15,National,1000,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Alco,Open TV,2021-09-13,2021-09-17,National,1000,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
MRB,Star,2021-09-13,2021-09-15,National,1000,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Opinion Poll,Political,2021-09-02,2021-09-07,National,1002,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Interview,Politic.gr,2021-08-23,2021-08-27,National,1325,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
GPO,Τα Νέα,2021-08-20,2021-08-25,National,1000,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Prorata,iEidiseis,2021-08-23,2021-08-24,National,1800,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Alco,Open TV,2021-07-12,2021-07-17,National,1000,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Prorata,,2021-07-07,2021-07-11,National,1735,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
GPO,Powergame.gr,2021-07-07,2021-07-10,National,1000,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Opinion Poll,tomanifesto.gr,2021-06-30,2021-07-07,National,1002,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Pulse RC,ΣΚΑΪ,2021-06-27,2021-07-07,National,2611,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
MRB,,2021-06-23,2021-07-01,National,2000,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
GPO,Τα Νέα,2021-06-26,2021-06-29,National,1000,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Marc,Πρώτο ΘΕΜΑ,2021-06-18,2021-06-24,National,1000,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Interview,Βεργίνα TV,2021-06-17,2021-06-23,National,1211,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Alco,Open TV,2021-06-15,2021-06-19,National,1000,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
GPO,Powergame.gr,2021-06-03,2021-06-05,National,1000,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Pulse RC,ΣΚΑΪ,2021-05-31,2021-06-02,National,1304,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Opinion Poll,,2021-05-18,2021-05-28,National,1605,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Metron Analysis,Mega TV,2021-05-18,2021-05-24,National,1202,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Alco,Open TV,2021-05-17,2021-05-21,National,1000,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Interview,Βεργίνα TV,2021-05-11,2021-05-17,National,1405,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
GPO,Powergame.gr,2021-05-05,2021-05-07,National,1005,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Marc,Πρώτο ΘΕΜΑ,2021-04-22,2021-04-27,National,1025,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Pulse RC,ΣΚΑΪ,2021-04-23,2021-04-25,National,1305,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
Opinion Poll,,2021-04-19,2021-04-23,National,1001,Provided,Not Available,0.1%,Λαϊκή Ενότητα,,ΛΑΕ
